muni,county,year,elecutil,reselec,commelec,induselec,streetelec,totelec,gasutil
Bass River township,Burlington,2015,ACE,6209917.00,3479406.00,5018652.00,63973.00,14771948.00,NJNG
Bass River township,Burlington,2016,ACE,5710903.00,3198329.00,5530204.00,63938.00,14503374.00,NJNG
Bass River township,Burlington,2017,ACE,5292077.00,3167033.00,5455611.00,64218.00,13978939.00,NJNG
Bass River township,Burlington,2018,ACE,5667876.00,3221563.00,5600691.00,64233.00,14554363.00,NJNG
Bass River township,Burlington,2019,ACE,5306640.00,2958135.00,5380308.00,64500.00,13709583.00,NJNG
Bass River township,Burlington,2020,ACE,5286017.00,2848749.00,4876697.00,64232.00,13075695.00,NJNG
Bass River township,Burlington,2021,ACE,5348701.00,2921518.00,5717584.00,76247.00,14064050.00,NJNG
Bay Head borough,Ocean,2015,JCPL,9310200.00,3346043.00,5633594.00,23256.00,18313093.00,NJNG
Bay Head borough,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Bay Head borough,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Bay Head borough,Ocean,2018,JCPL,9760121.00,3695112.00,4911559.00,29991.00,18396783.00,NJNG
Bay Head borough,Ocean,2019,JCPL,9812288.00,3626850.00,4616449.00,32280.00,18087867.00,NJNG
Bay Head borough,Ocean,2020,JCPL,10757738.00,3337019.00,6324775.00,33078.00,20452610.00,NJNG
Bay Head borough,Ocean,2021,JCPL,10996326.00,3748723.00,4141229.00,33120.00,18919398.00,NJNG
Bayonne city,Hudson,2015,PSEG,144021980.00,160182279.00,31951601.00,4639941.00,340795801.00,PSEG
Bayonne city,Hudson,2016,PSEG,144706450.00,157394763.00,34269932.00,4638859.00,341010004.00,PSEG
Bayonne city,Hudson,2017,PSEG,138429717.00,160817203.00,35303467.00,4357730.00,338908117.00,PSEG
Bayonne city,Hudson,2018,PSEG,144992458.00,172418414.00,35505697.00,5388067.00,358304636.00,PSEG
Bayonne city,Hudson,2019,PSEG,139739936.00,170944559.00,32205359.00,4997400.00,347887254.00,PSEG
Bayonne city,Hudson,2020,PSEG,148912425.00,165732174.00,28812039.00,5071339.00,348527977.00,PSEG
Bayonne city,Hudson,2021,PSEG,152391139.00,167606170.00,30033083.00,5057336.00,355087728.00,PSEG
Beach Haven borough,Ocean,2015,ACE,31330394.00,14285232.00,30321.00,290949.00,45936896.00,NJNG
Beach Haven borough,Ocean,2016,ACE,31016013.00,14571715.00,29457.00,290949.00,45908134.00,NJNG
Beach Haven borough,Ocean,2017,ACE,29598734.00,14252150.00,27839.00,290949.00,44169672.00,NJNG
Beach Haven borough,Ocean,2018,ACE,33670680.00,14868644.00,3706.00,259188.00,48802218.00,NJNG
Beach Haven borough,Ocean,2019,ACE,32688934.00,14588041.00,NDA,228291.00,47505266.00,NJNG
Beach Haven borough,Ocean,2020,ACE,35437136.00,13215476.00,NDA,228426.00,48881038.00,NJNG
Beach Haven borough,Ocean,2021,ACE,35909217.00,14337477.00,NDA,228285.00,50474979.00,NJNG
Beachwood borough,Ocean,2015,JCPL,38119804.00,7048767.00,224253.00,141936.00,45534760.00,NJNG
Beachwood borough,Ocean,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Beachwood borough,Ocean,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Beachwood borough,Ocean,2018,JCPL,37165268.00,7172957.00,174548.00,141936.00,44654709.00,NJNG
Beachwood borough,Ocean,2019,JCPL,35448256.00,7118427.00,216230.00,141936.00,42924849.00,NJNG
Beachwood borough,Ocean,2020,JCPL,36701859.00,6203946.00,334574.00,141936.00,43382315.00,NJNG
Beachwood borough,Ocean,2021,JCPL,37767637.00,6615196.00,385411.00,141936.00,44910180.00,NJNG
Bedminster township,Somerset,2015,JCPL,35533244.00,85001393.00,480560.00,40920.00,121056117.00,PSEG
Bedminster township,Somerset,2016,JCPL,NDA,NDA,NDA,NDA,NDA,PSEG
Bedminster township,Somerset,2017,JCPL,NDA,NDA,NDA,NDA,NDA,PSEG
Bedminster township,Somerset,2018,JCPL,33499671.00,80578920.00,477025.00,40920.00,114596536.00,PSEG
Bedminster township,Somerset,2019,JCPL,32141504.00,77911876.00,464389.00,40920.00,110558689.00,PSEG
Bedminster township,Somerset,2020,JCPL,32153525.00,72077218.00,476994.00,40920.00,104748657.00,PSEG
Bedminster township,Somerset,2021,JCPL,32591792.00,72236341.00,474335.00,40920.00,105343388.00,PSEG
Belleville township,Essex,2015,PSEG,85396024.00,75927572.00,5281705.00,2031444.00,168636745.00,PSEG
Belleville township,Essex,2016,PSEG,85558425.00,74528564.00,5149337.00,2160984.00,167397310.00,PSEG
Belleville township,Essex,2017,PSEG,81374124.00,74307305.00,5066984.00,2152641.00,162901054.00,PSEG
Belleville township,Essex,2018,PSEG,85818565.00,76848503.00,4795831.00,2325065.00,169787964.00,PSEG
Belleville township,Essex,2019,PSEG,82020195.00,75257046.00,4615123.00,2069952.00,163962316.00,PSEG
Belleville township,Essex,2020,PSEG,86045467.00,70063475.00,3993499.00,2294782.00,162397223.00,PSEG
Belleville township,Essex,2021,PSEG,85742128.00,72286454.00,4173262.00,2284151.00,164485995.00,PSEG
Bellmawr borough,Camden,2015,PSEG,37077187.00,50712834.00,7481048.00,646175.00,95917244.00,PSEG
Bellmawr borough,Camden,2016,PSEG,36840636.00,56447207.00,7456028.00,640607.00,101384478.00,PSEG
Bellmawr borough,Camden,2017,PSEG,34250625.00,54917117.00,7220303.00,635571.00,97023616.00,PSEG
Bellmawr borough,Camden,2018,PSEG,36718769.00,50111296.00,13829316.00,654339.00,101313720.00,PSEG
Bellmawr borough,Camden,2019,PSEG,35453213.00,51914351.00,15748755.00,657302.00,103773621.00,PSEG
Bellmawr borough,Camden,2020,PSEG,35819381.00,47550488.00,15226057.00,657671.00,99253597.00,PSEG
Bellmawr borough,Camden,2021,PSEG,35949713.00,49799701.00,17042512.00,657917.00,103449843.00,PSEG
Belmar borough,Monmouth,2015,JCPL,25102315.00,17995741.00,598607.00,211203.00,43907866.00,NJNG
Belmar borough,Monmouth,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Belmar borough,Monmouth,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Belmar borough,Monmouth,2018,JCPL,25940314.00,18342223.00,543988.00,209326.00,45035851.00,NJNG
